Place ,Fatalities,District Name 
Kude to Sativali,46,Thane/Manor
Old kasara Ghat,46,Thane/Ghoti
Malkapur,40,Satara/Karad
Waksai,36,Pune/Khandala
Serve Town Chowk,36,Jalgaon/Paldhi
Wadjai Nala,32,Jalgaon/Paldhi
Saykhed Hawali,32,Thane/Manor
Wadgaon Fata,27,Pune/Wadgaon
Kashil,26,Satara/Karad
Kalambe,26,Thane/Shahapur
Amboli,22,Thane/Charoti
Sukeli Phata,22,Raigad/Mahad
Masur Fata,21,Satara/Karad
Naldurga Ghat,19,Osmanabad/Naldurga
Eklagna Gaon,18,Jalgaon/Paldhi
Avtar Dhaba,18,Jalgaon/Paldhi
Umbarmali,17,Thane/Shahapur
Kamshet,17,Pune/Wadgaon
Warwada,15,Thane/Charoti
Center Chowk(Dehu Road),15,Pune/Vadgaon
Vadoda,13,Nagpur/Ramtek
Malup Shivar,12,Osmanabad/Naldurga
Topgaon to Kasar Wadi,11,Kolhapur/Ujalaiwadi
Jeetegaon,10,Raigad/Palaspe
Dasarkhed,9,Buldhana/Malkapur
Katsar Village,0,Dhule
Muslmanwadi Pati,5,NANDED
Nagzari Fata,4,Amravati Rural
Kanergaon Pati Solapur to Pune,0,Solapur Rural
Near Purmepada Village,0,Dhule
Shahapur,2,Bhandara
Near Anewadi Valsure Pul,3,Satara
"Gori In Hotel ""T"" Point",1,Amaravati City
"Gori In Hotel ""T"" Point",0,Dhule
Near D mart pandharpur Road Miraj,0,Sangli
