Place ,Fatalities,District Name ,Reasons
Kude to Sativali,46,Thane/Manor,Vehicle Speeding 
Old kasara Ghat,46,Thane/Ghoti,Vehicle Speeding 
Malkapur,40,Satara/Karad,Vehicle Speeding 
Waksai,36,Pune/Khandala,Critical Turn
Serve Town Chowk,36,Jalgaon/Paldhi,Low lights 
Wadjai Nala,32,Jalgaon/Paldhi,Critical Turn
Saykhed Hawali,32,Thane/Manor,Low lights 
Wadgaon Fata,27,Pune/Wadgaon,Vehicle Speeding 
Kashil,26,Satara/Karad,Bumpy Roads 
Kalambe,26,Thane/Shahapur,Critical Turn
Amboli,22,Thane/Charoti,Bumpy Roads 
Sukeli Phata,22,Raigad/Mahad,Drunk and Driving 
Masur Fata,21,Satara/Karad,Vehicle Speeding 
Naldurga Ghat,19,Osmanabad/Naldurga,Vehicle Speeding 
Eklagna Gaon,18,Jalgaon/Paldhi,Bumpy Roads 
Avtar Dhaba,18,Jalgaon/Paldhi,Vehicle Speeding 
Umbarmali,17,Thane/Shahapur,Slippery Roads 
Kamshet,17,Pune/Wadgaon,Slippery Roads 
Warwada,15,Thane/Charoti,Critical Turn
Center Chowk(Dehu Road),15,Pune/Vadgaon,Slippery Roads 
Vadoda,13,Nagpur/Ramtek,Bumpy Roads 
Malup Shivar,12,Osmanabad/Naldurga,Bumpy Roads 
Topgaon to Kasar Wadi,11,Kolhapur/Ujalaiwadi,Vehicle Speeding 
Jeetegaon,10,Raigad/Palaspe,Vehicle Speeding 
Dasarkhed,9,Buldhana/Malkapur,Vehicle Speeding 
Katsar Village,0,Dhule,Bumpy Roads 
Muslmanwadi Pati,5,NANDED,Vehicle Speeding 
Nagzari Fata,4,Amravati Rural,Vehicle Speeding 
Kanergaon Pati Solapur to Pune,0,Solapur Rural,Low lights 
Near Purmepada Village,0,Dhule,Critical Turn
Shahapur,2,Bhandara,Vehicle Speeding 
Near Anewadi Valsure Pul,3,Satara,Vehicle Speeding 
"Gori In Hotel ""T"" Point",1,Amaravati City,Critical Turn
"Gori In Hotel ""T"" Point",0,Dhule,Vehicle Speeding 
Near D mart pandharpur Road Miraj,0,Sangli,Bumpy Roads 
