Place ,Latitude ,Longitude,Fatalities
Kude to Sativali,19.407,72.8658,46
Old kasara Ghat,19.67,73.48,46
Malkapur,20.8922472,73.48,40
Waksai,18.76555556,73.45444444,36
Serve Town Chowk,21.01,76.37111111,36
Wadjai Nala,18.42722222,73.98111111,32
Saykhed Hawali,21.14666667,76.71361111,32
Wadgaon Fata,20.59366,78.96331,27
Kashil,17.5476,74.03735,26
Kalambe,19.047352,73.955086,26
Amboli,15.9625,73.99778,22
Sukeli Phata,19.946922,73.765434,22
Masur Fata,17.398364,74.166172,21
Naldurga Ghat,17.8166677,76.2739795,19
Eklagna Gaon,19.237091,75.426369,18
Avtar Dhaba,20.99935,75.45025,18
Umbarmali,17.753119,73.1880548,17
Kamshet,18.81465,73.54035,17
Warwada,18.2266307,76.3695167,15
Center Chowk(Dehu Road),18.7485,73.76725,15
Vadoda,22.310696,73.192635,13
Malup Shivar,20.64125,77.02775,12
Topgaon to Kasar Wadi,18.6060963,73.8227827,11
Jeetegaon,20.560797,74.52507,10
Dasarkhed,20.889759,76.203742,9
Katsar Village,19.075178,75.431778,0
Muslmanwadi Pati,17.026506,74.374344,5
Nagzari Fata,17.15303,74.15335,4
Kanergaon Pati Solapur to Pune,17.65992,75.906387,0
Near Purmepada Village,20.9042291,74.7748889,0
Shahapur,19.450001,73.330002,2
Near Anewadi Valsure Pul,17.78995,73.98765,3
"Gori In Hotel ""T"" Point",20.937424,77.779549,1
"Gori In Hotel ""T"" Point",20.903118,74.774986,0
Near D mart pandharpur Road Miraj,16.85722222,74.65861111,0
